Manufacturer,Year,Price (USD),MPG MIN,MPG MAX,Engine Volume (L),Mileage,Accidents or damage,Seller Rating,Seller Reviews Count,Car Rating,Car Reviews Count,Car Recommendation Rate,Car Comfort Rating,Car Interior Rating,Car Performance Rating,Car Value Rating,Car Exterior Rating,Car Reliability Rating
Hyundai,2022,"29,691",,,2.5,"36,007",1,3.5,855,4.2,37,75,4.2,4.1,4.3,3.7,4.5,4.2
MINI,2016,"9,500",25,35,1.5,"104,753",0,3.2,17,4.8,12,91,4.8,4.7,4.9,4.6,4.9,4.7
Mitsubishi,2022,"20,999",25,26,1.5,"60,922",0,2.7,513,4.6,9,88,4.6,4.4,4.4,4.6,4.6,4.3
FIAT,2013,"5,999",31,34,1.4,"78,996",0,,4,4.5,124,88,4.2,4.5,4.4,4.4,4.7,4.4
Jeep,2023,"26,304",23,29,1.3,"1,075",0,3.9,324,5,2,100,5,5,4.5,5,5,5
Mazda,2013,"12,998",28,40,,"88,286",,,1,4.7,83,98,4.5,4.6,4.7,4.8,4.7,4.8
Jeep,2015,"10,900",21,29,3.2,"134,237",0,,0,4.4,326,84,4.6,4.6,4.4,4.3,4.6,4.4
Subaru,2019,"20,299",27,33,2,"53,481",0,4.7,,4.7,208,94,4.7,4.7,4.6,4.7,4.8,4.8
Toyota,2018,"23,995",,,1.8,"55,321",0,4.5,191,4.7,48,95,4.6,4.4,4.8,4.6,4.6,4.8
Lincoln,2003,"4,695",17,25,4.6,"143,131",1,2.3,116,4.7,33,100,4.8,4.6,4.6,4.7,4.6,4.8
Lexus,2006,"6,999",31,27,3.3,"185,341",0,4.6,,4.6,65,87,4.9,4.6,4.7,4.5,4.6,4.6
Chevrolet,2022,"24,999",29,33,1.3,"28,737",0,4.2,281,3.4,5,40,3.8,4.4,4.4,3.6,4.2,4
Dodge,2007,"7,497",18,22,3.7,"133,090",0,,20,4,98,72,4.1,4,3.9,3.9,4.5,3.8
Ford,2021,"19,590",24,27,,"94,566",0,,4,5,4,100,4.8,4.8,4.8,4.8,5,4.5
INFINITI,2014,"16,495",16,22,3.7,"83,401",1,,43,4.9,11,100,5,4.7,4.9,4.6,4.9,5
Hyundai,2017,"13,792",19,28,3.3,"90,204",1,4.4,,4.9,19,100,4.9,4.8,4.7,4.9,4.8,5
Lexus,2016,"22,998",22,28,,"64,622",1,,10,4.8,68,95,4.8,4.8,4.8,4.7,4.9,4.9
BMW,2024,"42,500",24,33,2,"17,155",0,3.3,476,,,,,,,,,
Acura,2022,"26,438",24,34,2.4,"10,624",1,4.7,222,5,,,5,5,5,5,5,5
Buick,1981,"36,000",0,0,,"66,246",,,3,,,,,,,,,
Toyota,2022,"32,998",16,19,4,"70,778",0,4.4,461,4.8,6,83,5,5,4.7,5,5,4.7
Ford,2020,"33,642",18,24,3,"50,384",1,4.9,,4.3,262,79,4.7,4.6,4.4,4.2,4.7,4.2
Volkswagen,1969,"19,500",0,0,4,"1,466",,2.2,282,,,,,,,,,
